id	title	year	nom	won	directed_by	running_time	screenplay_by	produced_by	starring	music_by	cinematography	editing_by	distributed_by	release_dates	story_by	studio	country	language	budget	box_office	url	key	best_pic	best_actor	best_cinemato	best_director	best_foreign	palme	goldenbear	goldenlion	htmlpath	best_actress	best_supp_actress	best_supp_actor	create_dt	update_dt	canonical	imdbid
	Marley & Me	2008			David Frankel	115 minutes	Scott Frank,Don Roos	Karen Rosenfelt,Gil Netter	Owen Wilson,Jennifer Aniston	Theodore Shapiro	Florian Ballhaus	Mark Livolsi	20th Century Fox	December 25, 2008 (2008-12-25)			United States	English	$60 million	$242.7 million[1]	/wiki/Marley_&_Me_(film)	marleyme									wiki/Marley_&_Me_(film).html					2016-03-08 09:45:42	/wiki/Marley_%26_Me_(film)	tt0822832
3219	The Bank Job	2008			Roger Donaldson	111 minutes		Chuck Roven,Steve Chasman	Jason Statham,Saffron Burrows,Richard Lintern,Stephen Campbell Moore,James Faulkner,Daniel Mays	J. Peter Robinson	Michael Coulter		Lionsgate Films	29 February 2008 (2008-02-29) (UK)			United Kingdom	English	US$20 million[1]	US$64.8 million[2]	/wiki/The_Bank_Job	thebankjob															/wiki/The_Bank_Job	tt0200465
3255	Wendy and Lucy	2008			Kelly Reichardt	80 minutes[1]		Larry Fassenden,Neil Kopp,Anish Savjani	Michelle Williams		Sam Levy		Oscilloscope Pictures	May 22, 2008 (2008-05-22) (Cannes Film Festival),December 10, 2008 (2008-12-10) (United States)			United States	English	$300,000[2]	$1.2 million[3]	/wiki/Wendy_and_Lucy	wendyandlucy															/wiki/Wendy_and_Lucy	tt1152850
3374	Speed Racer	2008			The Wachowski Brothers	135 minutes[1]		Joel Silver,Grant Hill,Larry Wachowski,Andy Wachowski	Emile Hirsch,Christina Ricci,John Goodman,Susan Sarandon,Matthew Fox,Benno Fürmann,Hiroyuki Sanada,Rain,Richard Roundtree	Michael Giacchino	David Tattersall		Warner Bros. Pictures	May 3, 2008 (2008-05-03) (Tribeca Film Festival),May 9, 2008 (2008-05-09) (United States)			United States	English	$120 million[2]	$93.9 million[2]	/wiki/Speed_Racer_(film)	speedracer															/wiki/Speed_Racer_(film)	tt0811080
	Doubt	2008			John Patrick Shanley	103 minutes	John Patrick Shanley	Scott Rudin	Meryl Streep,Philip Seymour Hoffman,Amy Adams,Viola Davis	Howard Shore	Roger Deakins	Dylan Tichenor	Miramax	October 30, 2008 (2008-10-30) (AFI Fest),December 12, 2008 (2008-12-12) (United States)			United States	English	$20 million	$50,907,234[1]	/wiki/Doubt_(2008_film)	doubt									wiki/Doubt_(2008_film).html					2016-03-08 00:18:02	/wiki/Doubt_(2008_film)	tt0918927
	Frozen River	2008			Courtney Hunt	97 minutes[1]		Heather Rae,Chip Hourihan	Melissa Leo,Misty Upham,Charlie McDermott,Michael O'Keefe,Mark Boone Junior	Peter Golub,Shahzad Ali Ismaily	Reed Morano		Sony Pictures Classics	August 1, 2008 (2008-08-01)			United States	English,French,Chinese,Urdu	$1 million	$5,133,210[2]	/wiki/Frozen_River	frozenriver									wiki/Frozen_River.html	N					/wiki/Frozen_River	tt0978759
	Rachel Getting Married	2008			Jonathan Demme	114 minutes		Jonathan Demme,Neda Armian,Marc E. Platt	Anne Hathaway,Rosemarie DeWitt,Bill Irwin,Anna Deavere Smith,Tunde Adebimpe,Debra Winger	Donald Harrison Jr.,Zafer Tawil	Declan Quinn		Sony Pictures Classics	October 3, 2008 (2008-10-03)			United States	English	$12 million[1]	$17 million[2]	/wiki/Rachel_Getting_Married	rachelgettingmarried									wiki/Rachel_Getting_Married.html	N					/wiki/Rachel_Getting_Married	tt1084950
	Tropic Thunder	2008			Ben Stiller	106 minutes[1]	Ben Stiller,Justin Theroux,Etan Cohen	Ben Stiller,Stuart Cornfeld,Eric McLeod	Ben Stiller,Jack Black,Robert Downey, Jr.,Steve Coogan,Jay Baruchel,Danny McBride,Brandon T. Jackson,Bill Hader,Matthew McConaughey,Nick Nolte,Tom Cruise	Theodore Shapiro	John Toll		DreamWorks Pictures	August 13, 2008 (2008-08-13)	Ben Stiller,Justin Theroux		United States,United Kingdom,Germany	English,Mandarin	$92 million[2]	$188.1 million[2]	/wiki/Tropic_Thunder	tropicthunder									wiki/Tropic_Thunder.html			N			/wiki/Tropic_Thunder	tt0942385
	Revolutionary Road	2008			Sam Mendes	119 minutes	Justin Haythe	Bobby Cohen,Sam Mendes,Scott Rudin	Leonardo DiCaprio,Kate Winslet,Michael Shannon,Kathryn Hahn,David Harbour,Kathy Bates,Ty Simpkins	Thomas Newman	Roger Deakins		Paramount Vantage,(United States),United International Pictures (Europe)	15 December 2008 (2008-12-15) (United States),30 January 2009 (2009-01-30) (United Kingdom)			United States,United Kingdom	English	$35 million	$75.2 million[1]	/wiki/Revolutionary_Road_(film)	revolutionaryroad									wiki/Revolutionary_Road_(film).html			N			/wiki/Revolutionary_Road_(film)	tt0959337
	Avatar	2009	9	3	James Cameron	161 minutes[1]		James Cameron,Jon Landau	Sam Worthington,Zoe Saldana,Stephen Lang,Michelle Rodriguez,Sigourney Weaver	James Horner	Mauro Fiore	James Cameron,John Refoua,Stephen E. Rivkin	20th Century Fox	December 10, 2009 (2009-12-10) (London premiere),December 17, 2009 (2009-12-17) (United Kingdom),December 18, 2009 (2009-12-18) (United States)		Lightstorm Entertainment,Dune Entertainment,Ingenious Film Partners	United States,United Kingdom[2]	English	$237 million[3],$9 million+ (re-release)[4]	$2.788 billion[5][6]	/wiki/Avatar_(2009_film)	avatar	N		W	N					wiki/Avatar_(2009_film).html					2016-03-08 11:38:31	/wiki/Avatar_(2009_film)	tt0499549
	The Blind Side	2009	2	1	John Lee Hancock	126 minutes[1]	John Lee Hancock	Broderick Johnson,Andrew Kosove,Gil Netter	Sandra Bullock,Tim McGraw,Quinton Aaron,Jae Head,Lily Collins,Kathy Bates	Carter Burwell	Alar Kivilo	Mark Livolsi	Warner Bros. Pictures	November 20, 2009 (2009-11-20)		Alcon Entertainment,Fortis Films	United States	English	$29 million[1]	$309.2 million[1]	/wiki/The_Blind_Side_(film)	theblindside	N								wiki/The_Blind_Side_(film).html					2016-03-08 12:22:55	/wiki/The_Blind_Side_(film)	tt0878804
	The Cove	2009	1	1	Louie Psihoyos	87 minutes		Fisher Stevens,Paula DuPre Pesmen	Ric O'Barry,Hayden Panettiere,Scott Baker,Isabel Lucas,Hardy Jones	J. Ralph	Brook Aitken	Geoffrey Richman	Lionsgate,Roadside Attractions	July 31, 2009 (2009-07-31)		Oceanic Preservation Society,Diamond Docs,Skyfish Films	United States	English,Japanese		$1,140,043	/wiki/The_Cove_(film)	thecove									wiki/The_Cove_(film).html					2016-03-08 12:44:42	/wiki/The_Cove_(film)	tt1313104
	Crazy Heart	2009	3	2	Scott Cooper	112 minutes	Scott Cooper	Robert Duvall,Rob Carliner,Judy Cairo,T Bone Burnett,Scott Cooper	Jeff Bridges,Maggie Gyllenhaal,Colin Farrell,Robert Duvall	Stephen Bruton,T Bone Burnett,Ryan Bingham	Barry Markowitz	John Axelrad	Fox Searchlight Pictures	December 6, 2009 (2009-12-06) (Santa Fe Film Festival[1]),December 16, 2009 (2009-12-16) (United States[2])		Informant Media,Butcher's Run Films	United States	English	$7 million[2]	$47.4 million[2]	/wiki/Crazy_Heart	crazyheart		W							wiki/Crazy_Heart.html		N			2016-03-08 12:45:17	/wiki/Crazy_Heart	tt1263670
	Inglourious Basterds	2009	8	1	Quentin Tarantino	154 minutes[1]		Lawrence Bender	Brad Pitt,Christoph Waltz,Diane Kruger,Michael Fassbender,Eli Roth,Daniel Brühl,Til Schweiger,Mélanie Laurent		Robert Richardson	Sally Menke	The Weinstein Company (US),Universal Pictures (International)	May 20, 2009 (2009-05-20) (Cannes),August 20, 2009 (2009-08-20) (Germany),August 21, 2009 (2009-08-21) (United States)		The Weinstein Company,A Band Apart,Studio Babelsberg	Germany[2][3][4],United States[2][3]	German,English,French	$70 million[5]	$321.5 million[6]	/wiki/Inglourious_Basterds	inglouriousbasterds	N		N	N					wiki/Inglourious_Basterds.html			W		2016-03-08 13:31:55	/wiki/Inglourious_Basterds	tt0361748
	Logorama	2009	1	1	François Alaux,Hervé de Crécy,Ludovic Houplain	16 minutes		Autour de Minuit	Bob Stephenson, Sherman Augustus, Aja Evans, Joel Michaely	Bryan Ray Turcotte,Dayna Turcotte		Samuel Danési	Cinéma Public Films	May 20, 2009 (2009-05-20) (Cannes)			France	English			/wiki/Logorama	logorama									wiki/Logorama.html					2016-03-08 14:40:51	/wiki/Logorama	tt1563725
732	The New Tenants	2009	1	1	Joachim Back	21 mins			Vincent D'Onofrio, Kevin Corrigan, Liane Balaban, Jamie Harrold												/wiki/The_New_Tenants	thenewtenants															/wiki/The_New_Tenants	tt1520428
	The Secret in Their Eyes	2009	1	1	Juan José Campanella	129 minutes[1]		Juan José Campanella,Juan F DellAglio,Gerardo Herrero	Ricardo Darín,Soledad Villamil,Pablo Rago,Javier Godino,Guillermo Francella	Federico Jusid,Emilio Kauderer	Félix Monti	Juan José Campanella	Distribution Company (Argentina),Sony Pictures Classics (US)	13 August 2009 (2009-08-13)		Tornasol Films,Haddock Films,100 Bares	Argentina	Spanish	$2 million	$34 million[2]	/wiki/The_Secret_in_Their_Eyes	thesecretintheireyes					W				wiki/The_Secret_in_Their_Eyes.html					2016-03-08 16:47:34	/wiki/The_Secret_in_Their_Eyes	tt1305806
	Star Trek	2009	4	1	J. J. Abrams	127 minutes[1]		J. J. Abrams,Damon Lindelof	John Cho,Ben Cross,Bruce Greenwood,Simon Pegg,Chris Pine,Zachary Quinto,Winona Ryder,Zoe Saldana,Karl Urban,Anton Yelchin,Eric Bana,Leonard Nimoy	Michael Giacchino	Dan Mindel	Mary Jo Markey,Maryann Brandon	Paramount Pictures	April 7, 2009 (2009-04-07) (Sydney Opera House),May 8, 2009 (2009-05-08) (United States)		Spyglass Entertainment,Bad Robot Productions	United States	English	$150 million[2]	$385.7 million[2]	/wiki/Star_Trek_(film)	startrek									wiki/Star_Trek_(film).html					2016-03-08 16:55:34	/wiki/Star_Trek_(film)	tt0796366
	Up	2009	5	2	Pete Docter	96 minutes	Bob Peterson,Pete Docter	Jonas Rivera	Ed Asner,Christopher Plummer,Jordan Nagai,Bob Peterson	Michael Giacchino	Patrick Lin,Jean-Claudie Kalache	Kevin Nolting	Walt Disney Studios,Motion Pictures	May 29, 2009 (2009-05-29)	Bob Peterson,Pete Docter,Tom McCarthy	Pixar	United States	English	$175 million[1]	$731.4 million[2]	/wiki/Up_(2009_film)	up	N								wiki/Up_(2009_film).html					2016-03-08 17:08:19	/wiki/Up_(2009_film)	tt1049413
	The Young Victoria	2009	3	1	Jean-Marc Vallée	105 minutes		Martin Scorsese,Graham King,Timothy Headington,Sarah Ferguson	Emily Blunt,Rupert Friend,Miranda Richardson,Jim Broadbent,Paul Bettany,Mark Strong,Thomas Kretschmann,Julian Glover,Michael Maloney,Rachael Stirling	Ilan Eshkeri	Hagen Bogdanski	Jill Bilcock,Matt Garner	Momentum Pictures (UK) Apparition (US)	6 March 2009 (2009-03-06) (United Kingdom),18 December 2009 (2009-12-18) (United States)		GK Films	United Kingdom,United States	English	$35 million[1]	$27,409,889[1]	/wiki/The_Young_Victoria	theyoungvictoria									wiki/The_Young_Victoria.html					2016-03-08 17:15:39	/wiki/The_Young_Victoria	tt0962736
	Tetro	2009			Francis Ford Coppola	126 minutes		Francis Ford Coppola	Vincent Gallo,Alden Ehrenreich,Maribel Verdú,Klaus Maria Brandauer,Carmen Maura	Osvaldo Golijov	Mihai Malaimare Jr.	Walter Murch	Alta Films,American Zoetrope	June 11, 2009 (2009-06-11)			United States,Argentina,Spain	English,Italian,Spanish	$5,000,000[1]	$2.6 million[1]	/wiki/Tetro	tetro									wiki/Tetro.html					2016-03-08 18:50:22	/wiki/Tetro	tt0964185
	Harry Potter and the Half-Blood Prince	2009			David Yates	153 minutes[1]	Steve Kloves	David Heyman,David Barron	Daniel Radcliffe,Rupert Grint,Emma Watson,Jim Broadbent,Helena Bonham Carter,Robbie Coltrane,Warwick Davis,Michael Gambon,Alan Rickman,Maggie Smith,Timothy Spall,David Thewlis,Julie Walters	Nicholas Hooper	Bruno Delbonnel	Mark Day	Warner Bros. Pictures	6 July 2009 (2009-07-06) (Tokyo premiere),15 July 2009 (2009-07-15) (UK and US)		Heyday Films	United Kingdom,United States	English	$250 million[2]	$934.4 million[2]	/wiki/Harry_Potter_and_the_Half-Blood_Prince_(film)	harrypotterandthehalfbloodprince			N						wiki/Harry_Potter_and_the_Half-Blood_Prince_(film).html					2016-03-08 18:34:27	/wiki/Harry_Potter_and_the_Half-Blood_Prince_(film)	tt0417741
	Ice Age: Dawn of the Dinosaurs	2009			Carlos Saldanha,Mike Thurmeier (co-director)	94 minutes	Michael Berg,Peter Ackerman,Mike Reiss,Yoni Brenner	Lori Forte,John C. Donkin	Ray Romano,John Leguizamo,Denis Leary,Queen Latifah	John Powell		Harry Hitner	20th Century Fox	July 1, 2009 (2009-07-01)	Jason Carter Eaton	Blue Sky Studios,20th Century Fox Animation	United States	English	$90 million	$886.7 million[1]	/wiki/Ice_Age:_Dawn_of_the_Dinosaurs	iceagedawnofthedinosaurs									wiki/Ice_Age:_Dawn_of_the_Dinosaurs.html					2016-03-08 18:35:53	/wiki/Ice_Age:_Dawn_of_the_Dinosaurs	tt1080016
	Transformers: Revenge of the Fallen	2009			Michael Bay	150 minutes[1]		Don Murphy,Tom DeSanto,Lorenzo di Bonaventura,Ian Bryce	Shia LaBeouf,Megan Fox,Josh Duhamel,Tyrese Gibson,John Turturro	Steve Jablonsky	Ben Seresin	Roger Barton,Tom Muldoon,Joel Negron,Paul Rubell	DreamWorks Pictures,Paramount Pictures	June 19, 2009 (2009-06-19) (United Kingdom),June 24, 2009 (2009-06-24) (United States)		di Bonaventura Pictures,Hasbro	United States	English	$200 million	$836.3 million[2]	/wiki/Transformers:_Revenge_of_the_Fallen	transformersrevengeofthefallen									wiki/Transformers:_Revenge_of_the_Fallen.html					2016-03-11 00:02:46	/wiki/Transformers:_Revenge_of_the_Fallen	tt1055369
	2012	2009			Roland Emmerich	158 minutes		Harald Kloser,Mark Gordon,Larry J. Franco	John Cusack,Chiwetel Ejiofor,Amanda Peet,Oliver Platt,Thandie Newton,Danny Glover,Woody Harrelson	Harald Kloser,Thomas Wander	Dean Semler	David Brenner,Peter Elliott	Columbia Pictures	November 13, 2009 (2009-11-13)		Centropolis Entertainment	United States[1]	English	$200 million[2]	$769.7 million[3]	/wiki/2012_(film)	2012									wiki/2012_(film).html					2016-03-08 19:08:46	/wiki/2012_(film)	tt1190080
	Whatever Works	2009			Woody Allen	92 minutes		Letty Aronson,Stephen Tenenbaum	Ed Begley, Jr.,Patricia Clarkson,Larry David,Michael McKean,Evan Rachel Wood		Harris Savides	Alisa Lepselter	Sony Pictures Classics	June 19, 2009 (2009-06-19) (U.S.),June 25, 2010 (2010-06-25) (UK)			United States	English	$15 million	$35,085,646[1]	/wiki/Whatever_Works	whateverworks									wiki/Whatever_Works.html					2016-03-08 19:01:15	/wiki/Whatever_Works	tt1178663
	Bad Lieutenant: Port of Call New Orleans	2009			Werner Herzog	122 minutes[2]		Nicolas Cage,Avi Lerner,Alan Polsky,Gabe Polsky,Edward R. Pressman	Nicolas Cage,Eva Mendes,Jennifer Coolidge,Val Kilmer,Brad Dourif,Alvin 'Xzibit' Joiner,Fairuza Balk	Mark Isham	Peter Zeitlinger	Joe Bini	First Look Studios	November 20, 2009 (2009-11-20)[1]		Millennium Films,Saturn Films	United States	English	$25 million[3]	$10.6 million[3]	/wiki/Bad_Lieutenant:_Port_of_Call_New_Orleans	badlieutenantportofcallneworleans									wiki/Bad_Lieutenant:_Port_of_Call_New_Orleans.html					2016-03-08 21:12:53	/wiki/Bad_Lieutenant:_Port_of_Call_New_Orleans	tt1095217
	My Son, My Son, What Have Ye Done?	2009			Werner Herzog	91 minutes[4]		David Lynch,Eric Bassett	Michael Shannon,Willem Dafoe,Chloë Sevigny,Udo Kier	Ernst Reijseger	Peter Zeitlinger[2]	Joe Bini,Omar Daher	IFC Films	December 11, 2009 (2009-12-11)[3]		Defilm,Industrial Entertainment,Paper Street Films	United States,Germany	English			/wiki/My_Son,_My_Son,_What_Have_Ye_Done?	mysonmysonwhathaveyedone									wiki/My_Son,_My_Son,_What_Have_Ye_Done?.html					2016-03-08 09:46:29	/wiki/My_Son,_My_Son,_What_Have_Ye_Done%3F	tt1233219
	Public Enemies	2009			Michael Mann	140 minutes	Ronan Bennett,Ann Biderman,Michael Mann	Michael Mann,Kevin Misher	Johnny Depp,Christian Bale,Marion Cotillard,Billy Crudup,Stephen Dorff,Stephen Lang	Elliot Goldenthal	Dante Spinotti	Paul Rubell,Jeffrey Ford	Universal Pictures	July 1, 2009 (2009-07-01)		Relativity Media,Forward Pass,Misher Films,TriBeCa Productions,Appian Way Productions	United States	English	$100 million[1]	$214.1 million[1]	/wiki/Public_Enemies_(2009_film)	publicenemies									wiki/Public_Enemies_(2009_film).html					2016-03-08 21:32:25	/wiki/Public_Enemies_(2009_film)	tt1152836
	Taking Woodstock	2009			Ang Lee	120 minutes[1]	James Schamus	James Schamus,Ang Lee,Celia Costas	Demetri Martin,Dan Fogler,Henry Goodman,Jonathan Groff,Eugene Levy,Jeffrey Dean Morgan,Imelda Staunton,Emile Hirsch,Liev Schrieber	Danny Elfman	Eric Gautier	Tim Squyres	Focus Features	August 28, 2009 (2009-08-28)			United States	English	$30 million[2]	$10 million[2]	/wiki/Taking_Woodstock	takingwoodstock									wiki/Taking_Woodstock.html					2016-03-08 21:39:51	/wiki/Taking_Woodstock	tt1127896
	District 9	2009			Neill Blomkamp	112 minutes[1]	Neill Blomkamp,Terri Tatchell	Peter Jackson,Carolynne Cunningham	Sharlto Copley,Jason Cope,David James,Vanessa Haywood,Mandla Gaduka,Kenneth Nkosi,Eugene Khumbanyiwa,Louis Minnaar,William Allen Young	Clinton Shorter	Trent Opaloch	Julian Clarke	TriStar Pictures	August 13, 2009 (2009-08-13) (New Zealand),August 14, 2009 (2009-08-14) (United States),August 28, 2009 (2009-08-28) (South Africa)		WingNut Films,QED International,Key Creatives,Wintergreen Productions	New Zealand[2],United States[2],South Africa[2]	English	US$30 million[3]	US$210.8 million[3]	/wiki/District_9	district9	N								wiki/District_9.html					2016-03-08 21:42:38	/wiki/District_9	tt1136608
	An Education	2009			Lone Scherfig	95 minutes	Nick Hornby	Finola Dwyer,Amanda Posey	Peter Sarsgaard,Alfred Molina,Rosamund Pike,Dominic Cooper,Olivia Williams,Emma Thompson,Carey Mulligan	Paul Englishby	John de Borman	Barney Pilling	Sony Pictures Classics	18 January 2009 (2009-01-18) (Sundance),30 October 2009 (2009-10-30) (United Kingdom),5 February 2010 (2010-02-05) (United States)			United Kingdom,United States[1]	English	$7.5 million[2]	$26,096,852[3]	/wiki/An_Education	aneducation	N								wiki/An_Education.html	N				2016-03-09 00:48:37	/wiki/An_Education	tt1174732
	Precious	2009	6	2	Lee Daniels	110 minutes	Geoffrey S. Fletcher	Lee Daniels,Gary Magness,Sarah Siegel-Magness,Oprah Winfrey,Tom Heller,Tyler Perry,Lisa Cortés	Gabourey Sidibe,Mo'Nique,Paula Patton,Mariah Carey,Sherri Shepherd,Lenny Kravitz	Mario Grigorov	Andrew Dunn,Darren Lew	Joe Klotz	Lionsgate	January 15, 2009 (2009-01-15) (Sundance),November 6, 2009 (2009-11-06) (United States)		Lee Daniels Entertainment,Smokewood Entertainment,Harpo Films,34th Street Films	United States	English	$10 million[1]	$63.6 million[1]	/wiki/Precious_(film)	precious	N			N					wiki/Precious_(film).html	N	W			2016-03-08 21:05:32	/wiki/Precious_(film)	tt0929632
	A Serious Man	2009			Joel Coen,Ethan Coen	106 minutes		Joel Coen,Ethan Coen	Michael Stuhlbarg,Richard Kind,Fred Melamed	Carter Burwell	Roger Deakins	Roderick Jaynes	Focus Features	October 2, 2009 (2009-10-02)		Relativity Media,StudioCanal,Working Title Films,Mike Zoss Productions	United States,United Kingdom,France	English	$7 million	$31.4 million[1]	/wiki/A_Serious_Man	aseriousman	N								wiki/A_Serious_Man.html					2016-03-09 00:48:43	/wiki/A_Serious_Man	tt1019452
	Up in the Air	2009			Jason Reitman	109 minutes	Sheldon Turner,Jason Reitman	Daniel Dubiecki,Jeffrey Clifford,Ivan Reitman,Jason Reitman	George Clooney,Vera Farmiga,Anna Kendrick,Danny McBride	Rolfe Kent	Eric Steelberg	Dana E. Glauberman	Paramount Pictures	September 5, 2009 (2009-09-05) (Telluride),December 4, 2009 (2009-12-04) (United States)		DW Studios,The Montecito Picture Company,Rickshaw Productions	United States	English	$25 million[1][2]	$166.8 million[3]	/wiki/Up_in_the_Air_(2009_film)	upintheair	N	N		N					wiki/Up_in_the_Air_(2009_film).html		N			2016-03-09 00:38:29	/wiki/Up_in_the_Air_(2009_film)	tt1193138
	A Single Man	2009			Tom Ford	100 minutes	Tom Ford,David Scearce	Tom Ford,Andrew Miano,Robert Salerno,Chris Weitz	Colin Firth,Julianne Moore,Matthew Goode,Nicholas Hoult	Abel Korzeniowski,(additional music by Shigeru Umebayashi and Bernard Herrmann)	Eduard Grau	Joan Sobel	The Weinstein Company	September 11, 2009 (2009-09-11) (Venice Film Festival),September 14, 2009 (2009-09-14) (Toronto Film Festival),December 11, 2009 (2009-12-11) (United States)		Artina Films,Depth of Field,Fade to Black	United States	English	$7 million[1]	$24.9 million[2]	/wiki/A_Single_Man	asingleman		N							wiki/A_Single_Man.html					2016-03-09 11:31:52	/wiki/A_Single_Man	tt1315981
	Invictus	2009			Clint Eastwood	133 minutes	Anthony Peckham	Clint Eastwood,Lori McCreary,Robert Lorenz,Mace Neufeld	Morgan Freeman,Matt Damon	Kyle Eastwood,Michael Stevens	Tom Stern	Joel Cox,Gary D. Roach	Warner Bros. Pictures	December 11, 2009 (2009-12-11)		Revelations Entertainment,Malpaso Productions,Spyglass Entertainment	United States,South Africa	English,Afrikaans,Maori	$50–60 million[1][2]	$122.2 million[1]	/wiki/Invictus_(film)	invictus		N							wiki/Invictus_(film).html			N		2016-03-09 11:31:59	/wiki/Invictus_(film)	tt1057500
	The White Ribbon	2009			Michael Haneke	144 minutes [1]	Michael Haneke	Stefan Arndt,Veit Heiduschka,Michael Katz,Margaret Ménégoz,Andrea Occhipinti	Christian Friedel,Ulrich Tukur,Josef Bierbichler		Christian Berger	Monika Willi	Filmladen (Austria),X Verleih AG (Germany)	21 May 2009 (2009-05-21) (Cannes)	Michael Haneke	Wega Film,X Filme		German[2]	US$18 million[3]	US$19.3 million[3]	/wiki/The_White_Ribbon	thewhiteribbon			N		N	W			wiki/The_White_Ribbon.html					2016-03-09 12:32:20	/wiki/The_White_Ribbon	tt1149362
	The Maid	2009			Sebastián Silva	95 minutes		Gregorio González	Catalina Saavedra,Claudia Celedón,Mariana Loyola,Agustín Silva,Alejandro Goic,Andrea García-Huidobro				Elephant Eye Films	August 13, 2009 (2009-08-13)			Chile	Spanish			/wiki/The_Maid_(2009_film)	themaid									wiki/The_Maid_(2009_film).html					2016-03-09 12:32:30	/wiki/The_Maid_(2009_film)	tt1187044
	The Hangover	2009			Todd Phillips	100 minutes[1]		Todd Phillips	Bradley Cooper,Ed Helms,Zach Galifianakis,Heather Graham,Justin Bartha,Jeffrey Tambor	Christophe Beck	Lawrence Sher	Debra Neil-Fisher	Warner Bros. Pictures	May 30, 2009 (2009-05-30) (The Hague premiere),June 5, 2009 (2009-06-05) (United States)		Legendary Pictures	United States	English	$35 million[2]	$467.5 million[3]	/wiki/The_Hangover	thehangover									wiki/The_Hangover.html					2016-03-09 12:32:59	/wiki/The_Hangover	tt1119646
	Ajami	2009	1	0	Scandar Copti,Yaron Shani	120 minutes		Moshe Danon,Thanassis Karathanos,Talia Kleinhendler	Fouad Habash,Ibrahim Frege,Scandar Copti,Shahir Kabaha,Eran Naim	Rabih Boukhari	Boaz Yehonatan Yaacov	Scandar Copti,Yaron Shani		22 May 2009 (2009-05-22) (Cannes)			Israel	Arabic,Hebrew	$1 million	$2.2 million	/wiki/Ajami_(film)	ajami					N				wiki/Ajami_(film).html					2016-03-09 12:49:01	/wiki/Ajami_(film)	tt1077262
	The Milk of Sorrow	2009			Claudia Llosa	95 minutes		Antonio Chavarrías,Claudia Llosa,José María Morales	Magaly Solier,Susy Sánchez,Efrain Solís	Selma Mutal	Natasha Braier	Frank Gutiérrez		February 12, 2009 (2009-02-12) (Berlinale),February 13, 2009 (2009-02-13) (Spain),March 12, 2009 (2009-03-12) (Peru)			Peru,Spain	Spanish,Quechua			/wiki/The_Milk_of_Sorrow	themilkofsorrow					N		W		wiki/The_Milk_of_Sorrow.html					2016-03-09 12:49:05	/wiki/The_Milk_of_Sorrow	tt1206488
	A Prophet	2009	1	0	Jacques Audiard	155 minutes[1]		Martine Cassinelli,Antonin Dedet	Tahar Rahim,Niels Arestrup,Adel Bencherif	Alexandre Desplat	Stéphane Fontaine	Juliette Welfling	UGC Distribution	16 May 2009 (2009-05-16) (Cannes),26 August 2009 (2009-08-26) (France)			France,Italy	French,Arabic,Corsican	$13 million[2]	$17.9 million[2]	/wiki/A_Prophet	aprophet					N				wiki/A_Prophet.html					2016-03-09 12:49:14	/wiki/A_Prophet	tt1235166
	Dogtooth	2009			Yorgos Lanthimos	97 minutes[1]		Iraklis Mavroidis,Athina Rachel Tsangari,Yorgos Tsourianis	Christos Stergioglou,Michelle Valley,Angeliki Papoulia,Mary Tsoni,Christos Passalis		Thimios Bakatatakis	Yorgos Mavropsaridis	Feelgood Entertainment	18 May 2009 (2009-05-18) (Cannes),11 November 2009 (2009-11-11) (Greece)		Boo Productions	Greece	Greek	€250,000[2]	$384,147[3]	/wiki/Dogtooth_(film)	dogtooth					N				wiki/Dogtooth_(film).html					2016-03-09 12:49:21	/wiki/Dogtooth_(film)	tt1379182
	Lebanon	2009			Samuel Maoz	90 minutes		Uri Sabag,Einat Bikel	Oshri Cohen,Itay Tiran	Alex Claude, David Liss	Giora Bejach	Arik Leibovitch	Sony Pictures Classics (US),Metrodome Distribution (UK)	8 September 2009 (2009-09-08) (VIFF),24 September 2009 (2009-09-24) (Israel)			Israel	Hebrew,Arabic			/wiki/Lebanon_(2009_film)	lebanon								W	wiki/Lebanon_(2009_film).html					2016-03-09 13:20:21	/wiki/Lebanon_(2009_film)	tt1483831
	Tales from the Golden Age	2009			Hanno Höfer,Cristian Mungiu,Constantin Popescu,Ioana Uricaru,Razvan Marculescu	138 minutes		Cristian Mungiu,Oleg Mutu	Tania Popa	Hanno Höfer,Jimi Laco,(Nightlosers)	Liviu Marghidan,Oleg Mutu,Alex Sterian	Dana Bunescu,Ioana Uricaru	Wild Bunch	19 May 2009 (2009-05-19) (Cannes),29 May 2009 (2009-05-29) (Romania)			Romania	Romanian			/wiki/Tales_from_the_Golden_Age	talesfromthegoldenage									wiki/Tales_from_the_Golden_Age.html					2016-03-09 13:20:59	/wiki/Tales_from_the_Golden_Age	tt1422122
	Everyone Else	2009			Maren Ade	119 minutes[1]	Maren Ade	Maren Ade,Dirk Engelhardt,Janine Jackowski	Birgit Minichmayr,Lars Eidinger		Bernhard Keller	Heike Parplies	The Cinema Guild (United States)	June 18, 2009 (2009-06-18)		Komplizen Film	Germany	German			/wiki/Everyone_Else	everyoneelse									wiki/Everyone_Else.html					2016-03-09 13:25:09	/wiki/Everyone_Else	tt1204773
